System ID,Operator,Limitation,Route Name,Mobility,Infrastructure Type Fine,Technology Release,Date,Transfer Throughput [kbit/s],HTTP RTT First [ms],Connection Initiation Status,LTE PCC PDSCH Throughput [kbit/s],Carrier Aggregation PCC Usage [%] DL,Carrier Aggregation SCC1 Usage [%] DL,Transfer Status,Average Used Bandwidth DL,Maximum Available Bandwidth DL,E2E spectral efficiency DL,NR Carrier Aggregation SC Usage [%],NR Carrier Aggregation 2CA Usage [%],NR Carrier Aggregation 3CA Usage [%],NR PCell DL Throughput [kbit/s],Client IP Address,Server IP Address,Transfer Duration [s],Provisioning Tracelist,LTE PCC RSRP Min,LTE PCC RSRP Avg,LTE PCC RSRP Max,LTE PCC RSRQ Min,LTE PCC RSRQ Avg,LTE PCC RSRQ Max,LTE Tx Power Min,LTE Tx Power Avg,LTE Tx Power Max,LTE PCC SINR Min,LTE PCC SINR Avg,LTE PCC SINR Max,LTE PCC SINR Std,LTE PCC PDSCH RB Min,LTE PCC PDSCH RB Avg,LTE PCC PDSCH RB Max,LTE PCC PDSCH RB Std,LTE PCC PDSCH RBMax Max,LTE PCC DL QPSK Rate Avg,LTE PCC DL 16QAM Rate Avg,LTE PCC DL 64QAM Rate Avg,LTE PCC DL 256QAM Rate Avg,NR PCell PDSCH BLER Avg,NR PCell PDSCH BLER Max,NR PCell PDSCH BLER Min,NR PCell PDSCH Scheduled Throughput Avg [Mbit/s],NR PCell PDSCH Scheduled Throughput Max [Mbit/s],NR PCell PDSCH Scheduled Throughput Min [Mbit/s],NR PCell PDSCH Average Throughput [Mbit/s],NR PCell SSB Serving Beam RSRP Avg,NR PCell SSB Serving Beam RSRP Min,NR PCell SSB Serving Beam RSRP Max,NR PCell SSB Serving Beam RSRQ Avg,NR PCell SSB Serving Beam RSRQ Min,NR PCell SSB Serving Beam RSRQ Max,NR PCell SSB Serving Beam SINR Avg,NR PCell SSB Serving Beam SINR Min,NR PCell SSB Serving Beam SINR Max,NR PCell DL QPSK Rate Avg,NR PCell DL 16QAM Rate Avg,NR PCell DL 64QAM Rate Avg,NR PCell DL 256QAM Rate Avg
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE 3CA,45404,134453.7815126051,30.0,SUCCESS,25447.53,42.52,41.18,SUCCESS,66.26263,82.0,2029.104210210266,8.4,58.82,0,41433.168,client_ip_21fb9591f7e465ef,server_ip_77c6a834ddc7b466,0.5949999999999999,tracelist_4cd1311b6ca31991,-94.06,-91.479996,-90.5,-16.5,-15.3116665,-14.06,18.666666,20.65768,22.0,10.6,11.450001,12.3,1.2020814,54.666668,89.23165,99.5,10.528183,100,1.6494846,16.494844,80.0,1.8556701,8.044418999999998,67.274666,0,131.13158,213.152,0.544,41.433168,-103.2325,-103.9,-102.46,-10.8075,-10.92,-10.7,10.443871,8.12,14.44,0.72289157,14.698794,84.57831,0.0
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR+LTE 3CA,45404,258899.6763754045,21.0,SUCCESS,29315.986,34.3,25.89,SUCCESS,88.03828,112.0,2940.7625452860334,48.54,0.0,0,133726.53,client_ip_21fb9591f7e465ef,server_ip_466ef600a00c7ba5,0.309,tracelist_4cd1311b6ca31991,-79.12,-78.25,-77.38,-9.75,-9.5,-9.25,17.2,18.68586,19.88889,0.0,0.0,0.0,0.0,59.88889,88.62997,98.0,10.39496,100,1.5,0.0,27.5,71.0,11.809747,41.971405,0,661.1439399999999,868.56,5.584,133.72653,-72.78499999999998,-73.81,-71.76,-10.695,-10.71,-10.68,16.6425,11.94,21.12,0.7092197999999998,0.0,0.0,99.29078
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE,45404,217983.65122615808,18.0,SUCCESS,14011.03,37.6,0.0,SUCCESS,75.74931999999998,82.0,2877.697796180323,27.25,68.12,0,174854.9,client_ip_21fb9591f7e465ef,server_ip_466ef600a00c7ba5,0.3669999999999999,tracelist_4cd1311b6ca31991,-90.75,-90.6375,-90.56,-13.19,-12.875,-12.5,15.4,18.6027,21.0,0.0,0.0,0.0,0.0,85.47826399999998,89.89855,92.0,2.592655,100,26.31579,72.18044999999998,1.5037594,0.0,5.418866,66.666664,0,447.1899,737.744,3.472,174.8549,-91.994995,-92.27,-91.72,-10.305,-10.31,-10.3,18.43389,17.36,19.57,0.97719866,1.3029315,47.882736,49.83713
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE 3CA,45404,253164.5569620253,19.0,SUCCESS,23714.912,35.76,32.28,SUCCESS,137.03703,122.0,1847.417132157821,15.82,63.29,0,164182.61,client_ip_21fb9591f7e465ef,server_ip_466ef600a00c7ba5,0.316,tracelist_4cd1311b6ca31991,-101.94,-101.94,-101.94,-13.81,-13.81,-13.81,19.0,19.588757,21.1,0.0,0.0,0.0,0.0,72.0,94.43367,98.5,6.887146,100,4.910714,25.44643,69.64286,0.0,9.198235,100.0,0,453.1153,688.752,2.256,164.18261,-95.21001,-95.26,-95.16,-10.35,-10.36,-10.34,22.54125,20.76,24.81,1.1857708,0.0,48.221344,50.592888
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR+LTE 2CA,45404,216802.1680216802,26.0,SUCCESS,101959.55,63.96,0.0,SUCCESS,44.609665,40.0,4859.981979727492,67.75,0.0,0,80146.41,client_ip_21fb9591f7e465ef,server_ip_77c6a834ddc7b466,0.3689999999999999,tracelist_4cd1311b6ca31991,-89.19,-85.89286,-85.0,-16.25,-14.392858,-10.62,18.0,18.503922,19.058823,19.0,19.433332,19.8,0.40414485,68.0,94.251015,99.666664,6.691874,100,0.0,0.0,59.333332,40.666668,8.922066,92.312546,0,136.91678,176.208,0.888,80.14641,-79.39,-79.63,-79.15,-10.42,-10.43,-10.41,23.882631,19.8,27.71,0.4201680999999999,4.2016807,92.43697,2.9411764
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR+LTE 2CA,45404,190476.1904761905,24.0,SUCCESS,28900.4,71.9,68.57,SUCCESS,115.0,92.0,1656.3146997929607,83.33,0.0,0,149445.58,client_ip_21fb9591f7e465ef,server_ip_87b314f995b5e68b,0.42,tracelist_4cd1311b6ca31991,-103.19,-102.74,-102.38,-14.25,-13.6883335,-13.06,20.5,21.68921,22.31579,3.7,3.8333333,4.0,0.1527525,21.714285,87.61960999999998,100.0,16.224907,100,16.470589,71.42857,12.100841,0.0,10.906257,89.17996999999998,0,265.96247,426.352,86.06399999999998,149.44558,-106.0,-106.11,-105.89,-10.855,-10.9,-10.81,7.986190299999999,7.02,8.83,0.0,16.920153,83.07984999999998,0.0
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,LTE,45404,23501.76263219741,27.0,SUCCESS,24338.227,69.18,0.0,SUCCESS,20.581114,20.0,1141.9091615836453,0.0,0.0,0,0.0,client_ip_21fb9591f7e465ef,server_ip_74564e0f2f9f5637,3.404,tracelist_4ab74ec2e00f4edb,-108.5,-103.28925,-97.0,-17.38,-14.495375,-11.31,18.333334,21.287008,22.11111,-3.2,1.7880952,5.1,1.7977225,3.0,90.33191,97.73913,9.9462385,100,11.509556,88.232765,0.2576765999999999,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE,45404,120663.6500754148,28.0,SUCCESS,73750.00999999998,64.25,0.0,SUCCESS,76.37656,82.0,1579.851856059173,0.0,75.41,0,36104.652,client_ip_21fb9591f7e465ef,server_ip_87b314f995b5e68b,0.663,tracelist_4ab74ec2e00f4edb,-68.75,-68.099335,-67.69,-13.06,-11.25,-9.5,18.166666,20.293312,22.0,25.3,25.666666,26.1,0.3265989699999999,62.652172,88.195885,94.434784,8.857086,100,1.6149068,0.0,0.4968944,97.8882,10.056701,100.0,0,75.991695,143.376,13.056,36.104652,-109.825,-110.22,-109.39,-13.1475,-13.33,-12.97,0.3584375,-0.89,2.1,91.75108,6.946454,1.3024602,0.0
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE 3CA,45404,192771.0843373494,18.0,SUCCESS,18715.027,40.24,35.42,SUCCESS,129.5238,122.0,1488.306275274115,60.24,24.1,0,131043.7,client_ip_21fb9591f7e465ef,server_ip_74564e0f2f9f5637,0.4149999999999999,tracelist_4ab74ec2e00f4edb,-95.31,-94.36,-93.38,-12.0,-10.7675,-9.0,21.2,21.9,22.0,9.7,9.7,9.7,0.0,29.333334,83.92545,99.5,19.375107,100,11.212121,52.12121,36.666668,0.0,11.246389,68.54669,0,442.1393,639.568,2.064,131.0437,-83.29667,-83.68,-82.72,-10.38,-10.38,-10.38,23.249,18.85,26.65,1.4035088,0.0,67.7193,30.877193
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE 3CA,45404,272108.843537415,20.0,SUCCESS,30340.734,30.61,23.13,SUCCESS,125.77319,122.0,2163.4884472391527,17.01,51.02,0,150513.73,client_ip_21fb9591f7e465ef,server_ip_74564e0f2f9f5637,0.2939999999999999,tracelist_4ab74ec2e00f4edb,-76.44,-75.524,-74.5,-14.62,-13.336,-12.25,17.0,18.055555,19.333334,30.2,30.2,30.2,0.0,62.833332,84.39767999999998,97.0,11.302516,100,7.344632599999998,0.5649717499999999,35.59322,56.497173,9.206061,100.0,0,582.2505,803.28,1.104,150.51373,-79.575,-79.95,-79.2,-10.355,-10.36,-10.35,26.808462,21.83,31.13,2.4242423,0.0,0.6060605599999999,96.969696
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE,45404,19536.019536019536,18.0,SUCCESS,0.6603175,0.34,0.0,SUCCESS,60.075092,82.0,325.193335301418,63.04,34.61,0,22854.246,client_ip_21fb9591f7e465ef,server_ip_90f82af3484b984f,4.095,tracelist_4ab74ec2e00f4edb,-97.31,-96.29215,-95.0,-16.44,-12.876455,-9.94,17.733334,19.028624,20.588236,8.5,11.727083,16.3,1.4401152,3.0,4.296296,6.0,1.0198644,10,100.0,0.0,0.0,0.0,4.446157,100.0,0,375.10275,753.792,1.104,22.854246,-92.246,-94.21,-91.02,-10.43,-10.49,-10.38,25.02593,22.64,27.45,12.022901,1.1450382,44.27481,42.55725
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR+LTE,45404,207792.2077922078,18.0,SUCCESS,44816.727,68.31,0.0,SUCCESS,69.61039,72.0,2985.074610158165,90.91,0.0,0,158621.3,client_ip_21fb9591f7e465ef,server_ip_df26811b0b18615a,0.385,tracelist_4ab74ec2e00f4edb,-75.06,-72.312,-71.31,-14.62,-12.524,-9.94,20.0,20.905882,21.0,2.3,6.7999997,13.4,3.814184,83.1,93.57547,96.86957,3.7713604,100,0.7797271,7.017544,90.8382,1.3645225,10.989142,100.0,0,313.17538,524.752,1.104,158.6213,-108.80334,-109.23,-108.38,-10.833333,-10.87,-10.77,12.308001,9.34,16.79,0.45351475,8.390022999999998,84.35374,6.8027215
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE 2CA,45404,173160.1731601732,27.0,SUCCESS,17050.701,59.09,0.0,SUCCESS,98.89503,102.0,1750.949194920849,0.0,75.76,0,94173.85,client_ip_21fb9591f7e465ef,server_ip_df26811b0b18615a,0.462,tracelist_4ab74ec2e00f4edb,-104.56,-103.248,-102.0,-18.69,-17.024,-16.0,15.2,20.047173,21.0,4.3,6.5,8.0,1.9467921,85.91666399999998,93.0761,97.09091,2.7883132,100,10.780669,5.204461,84.01487,0.0,8.958617,100.0,0,218.63478,311.552,22.032,94.17385,-109.12333,-109.97,-108.38,-10.863334,-10.95,-10.8,10.529565,6.51,14.65,0.0,0.22779045,99.77221,0.0
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE 2CA,45404,232558.1395348837,22.0,SUCCESS,6923.116,33.43,24.71,SUCCESS,109.016396,102.0,2133.240026893603,29.07,58.14,0,191899.95,client_ip_21fb9591f7e465ef,server_ip_df26811b0b18615a,0.3439999999999999,tracelist_4ab74ec2e00f4edb,-110.06,-109.524,-109.06,-15.06,-14.676001,-14.38,22.0,22.84835,23.0,1.2,2.6333334,3.7,1.2897028,36.666668,83.4047,96.92308,19.0423,100,12.280702,68.42105,19.298244,0.0,14.176311,86.97409,0,559.4371,1311.6,0.544,191.89995,-95.354996,-95.57,-95.14,-12.455,-12.56,-12.35,1.7729411,-2.77,5.57,1.4234875,1.0676156,37.366547,60.14235
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE 2CA,45404,215633.423180593,21.0,SUCCESS,6922.3506,52.29,49.06,SUCCESS,109.22509,102.0,1974.211448858435,13.48,67.39,0,146585.81,client_ip_21fb9591f7e465ef,server_ip_df26811b0b18615a,0.371,tracelist_4ab74ec2e00f4edb,-112.38,-111.93833,-111.38,0.0,0.0,0.0,13.0,21.5792,23.0,-6.0,-4.9666667,-4.0,1.0016652,65.2,84.28317,95.63636,8.562001999999998,100,97.14286,2.857143,0.0,0.0,6.746272,77.33864599999998,0,377.66206,655.776,1.776,146.58581,-99.345,-99.67,-99.02,-10.81,-10.85,-10.77,12.519474,6.02,19.47,7.0512824,21.474358,55.448715,16.025642
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,LTE 3CA,45404,42757.8834847675,27.0,SUCCESS,30804.31,65.42,32.82,SUCCESS,50.867744,50.0,840.5696837030457,0.0,0.0,0,0.0,client_ip_1f7f4acb54ac0813,server_ip_3ec58e1420ea7858,1.871,tracelist_4cd1311b6ca31991,-105.56,-102.71353,-101.5,-14.44,-12.750588,-10.38,14.125,16.898638,20.0,3.8,8.1875,11.6,2.6454475,2.5,79.654526,96.0,14.815812,100,1.0757138,37.608604,61.026066,0.2896152,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,LTE 3CA,45404,167364.0167364017,36.00000000000001,SUCCESS,67452.03,64.23,62.97,SUCCESS,52.910053,50.0,3163.179910940586,0.0,0.0,0,0.0,client_ip_1f7f4acb54ac0813,server_ip_3ec58e1420ea7858,0.4779999999999999,tracelist_4cd1311b6ca31991,-92.19,-91.59857,-90.56,-12.19,-11.072857,-9.81,22.0,22.0,22.0,24.6,25.05,25.5,0.6363957999999998,56.25,93.37741,99.5,7.0039735,100,0.3344481599999999,0.0,48.82943,50.83612,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE 3CA,45404,259740.2597402597,28.0,SUCCESS,9860.39,26.3,21.75,SUCCESS,132.6923,92.0,1957.462940504157,32.47,48.7,0,208443.89,client_ip_cf79f77edea936cb,server_ip_3ec58e1420ea7858,0.308,tracelist_4cd1311b6ca31991,-81.75,-80.235,-78.0,-14.25,-13.059999,-12.12,2.0,5.1285715,6.0,2.4,3.3,4.2,1.272792,56.0,79.82665,93.0,12.216414,100,1.2903225,49.032257,49.67742,0.0,0.0,0.0,0,555.8504,803.28,1.104,208.44389,-78.53,-78.95,-78.11,-11.365,-11.44,-11.29,7.6266665,-1.65,13.36,1.7316017,0.0,6.4935064,91.774895
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE 3CA,45404,226628.895184136,29.0,SUCCESS,4372.7817,18.98,14.45,SUCCESS,132.80632,112.0,1706.461674294838,16.5,49.5,0,138371.98,client_ip_cf79f77edea936cb,server_ip_3ec58e1420ea7858,0.3529999999999999,tracelist_4cd1311b6ca31991,-111.31,-110.437996,-109.31,-13.25,-13.098,-12.81,20.0,21.688416,22.666666,2.6,2.85,3.1,0.3535533799999999,24.0,58.11908,90.0,24.53254,100,42.74809,57.251907,0.0,0.0,10.629275,61.012466,0,574.65075,770.544,3.472,138.37198,-97.195,-97.8,-96.59,-10.34,-10.35,-10.33,20.472778,19.19,21.43,1.0362694,0.0,3.626943,95.33679
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE 2CA,45404,244648.3180428135,20.0,SUCCESS,10909.284,45.26,32.11,SUCCESS,112.77533,102.0,2169.342515271855,15.29,61.16,0,185588.25,client_ip_cf79f77edea936cb,server_ip_3ec58e1420ea7858,0.327,tracelist_4cd1311b6ca31991,-106.25,-105.90666,-105.31,-15.19,-13.0616665,-10.75,21.5,22.657238,23.0,-0.2,0.43333334,0.8,0.5507570499999999,88.8,92.765945,96.333336,2.2526522,100,2.097902,49.65035,48.251747,0.0,8.9024935,100.0,0,499.48444,770.544,3.472,185.58825,-102.09,-102.53,-101.65,-10.515,-10.52,-10.51,19.620625,14.38,24.25,0.7407407,0.37037036,18.518518,80.37036999999998
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE 2CA,45404,119225.03725782408,35.0,SUCCESS,17139.375,41.43,38.3,SUCCESS,92.81962,102.0,1284.4809885865093,0.0,74.52,0,68345.11,client_ip_cf79f77edea936cb,server_ip_3ec58e1420ea7858,0.671,tracelist_4cd1311b6ca31991,-107.06,-104.45125,-102.12,-14.75,-11.55375,-8.88,20.0,21.859732,22.9,8.8,10.7,11.7,1.6462077,9.666667,86.00570999999998,100.0,21.04447,100,5.970149,74.44029999999998,19.589552,0.0,9.018508,88.55524,0,183.80589,286.8,12.544,68.34511,-114.875,-115.62,-114.19,-12.525,-12.66,-12.38,3.5241177,-0.7,7.76,1.0948905,94.16058,4.7445254,0.0
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR+LTE,45404,199501.246882793,42.0,SUCCESS,23458.215,40.9,0.0,SUCCESS,78.40532,72.0,2544.486099703349,74.81,0.0,0,180078.61,client_ip_cf79f77edea936cb,server_ip_3ec58e1420ea7858,0.401,tracelist_4cd1311b6ca31991,-81.94,-80.578575,-79.31,-12.94,-11.805715,-9.88,2.6666667,6.0367723,9.5,13.3,15.4,17.5,2.9698484,53.2,84.281395,98.26087,18.38262,100,2.5,0.0,1.8750001,95.625,6.64043,100.0,0,547.057,803.28,4.816,180.07861,-87.96333,-88.12,-87.71,-10.51,-10.52,-10.5,19.510527,14.85,22.61,0.35211268,0.35211268,92.253525,7.042254
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR+LTE 4CA,45404,42964.55424274973,29.0,SUCCESS,14136.727,75.98999999999998,20.35,SUCCESS,65.463295,122.0,656.3151800218693,65.36,0.0,0,22030.736,client_ip_cf79f77edea936cb,server_ip_3ec58e1420ea7858,1.862,tracelist_4cd1311b6ca31991,-104.75,-97.2052,-90.19,-19.88,-16.706,-14.12,19.25,21.388058,22.85,-7.0,1.0166667,10.4,5.7290063,18.333334,65.4167,100.0,29.98196,100,52.50752,15.49649,31.795385,0.2006018,5.1629977,100.0,0,217.04356,426.352,0.224,22.030736,-102.675,-104.53,-100.03,-12.7375,-13.34,-11.84,3.1212502,-4.47,9.1,1.75,60.000004,38.25,0.0
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE 2CA,45404,241691.8429003021,19.0,SUCCESS,25913.209,55.29,48.04,SUCCESS,128.13853,102.0,1886.1761790173657,15.11,75.53,0,127186.44,client_ip_cf79f77edea936cb,server_ip_ead837420574aaf8,0.331,tracelist_4ab74ec2e00f4edb,-100.69,-100.386665,-100.25,-19.19,-17.76,-15.81,20.8,21.935862,22.7,2.2,3.5,4.6,1.2124355,81.79310599999998,92.321335,98.0,4.9883256,100,0.0,25.382263,74.00611999999998,0.61162084,6.7946763,81.65011599999998,0,345.0714,541.152,1.104,127.18644,-103.229996,-103.33,-103.13,-11.540001,-11.56,-11.52,7.279375,6.93,7.58,1.5151515,12.878788,81.43939,4.166667
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR+LTE,45404,212201.5915119364,26.0,SUCCESS,1416.1698,3.71,0.0,SUCCESS,63.537907,72.0,3339.763639238799,79.58,0.0,0,200634.14,client_ip_cf79f77edea936cb,server_ip_ead837420574aaf8,0.377,tracelist_4ab74ec2e00f4edb,-73.5,-73.44,-73.38,-9.75,-9.565001,-9.38,16.285715,17.434525,18.583334,0.0,0.0,0.0,0.0,73.64,73.64,73.64,0.0,100,28.0,36.0,36.0,0.0,0.4720315299999999,24.073608,0,514.5515,852.672,3.344,200.63414,-87.93,-88.13,-87.73,-10.594999,-10.61,-10.58,28.221766,25.47,30.41,1.0135134,0.0,21.621622,77.36485999999998
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR+LTE,45404,116448.326055313,67.0,SUCCESS,7877.1006,18.05,0.0,SUCCESS,54.51448,72.0,2136.098997097889,65.5,0.0,0,112272.61,client_ip_cf79f77edea936cb,server_ip_3ec58e1420ea7858,0.687,tracelist_4ab74ec2e00f4edb,-85.44,-83.191666,-82.62,-15.0,-14.391666,-13.88,18.0,19.77143,21.0,0.9,1.7666667,2.8,0.7501111,81.04348,88.61126,93.91304,4.714088,100,2.0408163,76.32653,21.632654,0.0,6.4784117,83.25002,0,517.6596,803.28,4.56,112.27261,-89.905,-90.09,-89.73,-10.3475,-10.36,-10.33,16.731428,14.17,19.4,0.6269592,0.0,15.047021,84.32602
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE,45404,203045.6852791878,23.0,SUCCESS,19448.791,58.88,0.0,SUCCESS,80.71066,82.0,2515.72326727582,23.86,76.14,0,139220.89,client_ip_cf79f77edea936cb,server_ip_3ec58e1420ea7858,0.394,tracelist_4ab74ec2e00f4edb,-91.44,-90.314445,-89.19,-14.81,-12.056666,-9.88,18.75,19.471428,21.3,7.8,9.816667,12.1,1.5171245,86.26086999999998,91.322014,96.521736,3.627374,100,17.532467,82.46752999999998,0.0,0.0,4.7464805,100.0,0,269.54806,524.752,2.064,139.22089,-94.07667,-94.57,-93.72,-10.726666,-10.8,-10.65,14.35,10.37,23.04,0.46728972,6.308411,81.54205,11.682243
system_8895838c437e9251,operator_10,0,route_064,mobility_001,infrastructure_001,NR 2CA+LTE 3CA,45404,173160.1731601732,26.0,SUCCESS,27821.957,42.21,39.39,SUCCESS,101.731606,122.0,1702.12758815754,54.11,43.29,0,51945.246,client_ip_cf79f77edea936cb,server_ip_3ec58e1420ea7858,0.462,tracelist_4ab74ec2e00f4edb,-86.25,-85.55428,-84.69,-17.25,-14.275714,-11.94,15.8,19.173172,21.8125,21.3,21.55,21.8,0.3535533799999999,61.774193,93.95851,99.0,7.448247,100,2.8645835,8.854165999999998,84.63541999999998,3.6458333,10.380122,100.0,0,358.18962,803.28,2.832,51.945246,-82.71333,-82.78,-82.66,-10.41,-10.41,-10.41,23.547728,20.22,26.31,6.0,0.0,70.0,24.0
